job_id	entity_id	conformation	seed	job_hash_equal	own_pair_label	rli_pair_label	pair_label_equal	own_native_class	rli_native_class	own_cross_class	rli_cross_class	own_selected_models	rli_selected_models	own_haddock_score	rli_haddock_score	haddock_delta_own_minus_rli	own_consensus_fraction	rli_consensus_fraction
CANDIDATE_V29_GEN__C0030__34E77D85FC511DB4_8x6b_s917_182eed089af9	V29_GEN__C0030__34E77D85FC511DB4	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-91.59590000000001	-48.43946999999999	-43.15643000000002	0.8	0.8
CANDIDATE_V29_GEN__C0030__519D0E73D69ACF9D_8x6b_s917_1d411a2a3c6a	V29_GEN__C0030__519D0E73D69ACF9D	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-60.14159	-62.720893999999994	2.5793039999999934	0.6	0.8
CANDIDATE_V29_GEN__C0030__825E99CADEE059F6_9e6y_s917_13d25d7d301b	V29_GEN__C0030__825E99CADEE059F6	9e6y	917	true	SUPPORTED_AB	OTHER	false	B	E	B	E	9	7	-67.9767	-73.80063999999999	5.823939999999993	0.777778	0.857143
CANDIDATE_V29_GEN__C0030__882F1C1AA13BAAEB_8x6b_s917_0e01bf9ff3f9	V29_GEN__C0030__882F1C1AA13BAAEB	8x6b	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	8	8	-77.78370000000001	-80.2302	2.446499999999986	0.75	1.0
CANDIDATE_V29_GEN__C0030__882F1C1AA13BAAEB_9e6y_s917_1795ddcfd749	V29_GEN__C0030__882F1C1AA13BAAEB	9e6y	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	10	10	-76.40549999999999	-77.933	1.5275000000000176	1.0	0.8
CANDIDATE_V29_GEN__C0030__B4006F60A5796917_8x6b_s917_0a82398aa352	V29_GEN__C0030__B4006F60A5796917	8x6b	917	true	SUPPORTED_AB	STRICT_A	false	B	A	B	A	7	9	-54.057900000000004	-68.94000000000001	14.882100000000008	0.571429	0.666667
CANDIDATE_V29_GEN__C0030__CF3809CD1F52AE22_8x6b_s917_186bb9c9758f	V29_GEN__C0030__CF3809CD1F52AE22	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-54.113769999999995	-38.17727999999998	-15.936490000000013	0.6	0.6
CANDIDATE_V29_GEN__C0048__0BFD5484A0C39CFE_8x6b_s917_1601ccaf4b84	V29_GEN__C0048__0BFD5484A0C39CFE	8x6b	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	10	10	-71.7644	-98.7559	26.991500000000002	0.8	0.7
CANDIDATE_V29_GEN__C0048__1FB1B70CF9D45334_8x6b_s917_1f6923ba2931	V29_GEN__C0048__1FB1B70CF9D45334	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	6	5	-104.5735	-75.82749999999999	-28.74600000000001	1.0	1.0
CANDIDATE_V29_GEN__C0048__299300A0D4330A61_9e6y_s917_148092f997a1	V29_GEN__C0048__299300A0D4330A61	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-75.7001	-72.339	-3.3611000000000075	0.8	0.8
CANDIDATE_V29_GEN__C0048__2CEF2F25F78EEDF1_8x6b_s917_0c83a2b81012	V29_GEN__C0048__2CEF2F25F78EEDF1	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	7	7	-74.49582000000001	-70.05732	-4.438500000000005	1.0	1.0
CANDIDATE_V29_GEN__C0048__826A7B75A0969B0A_8x6b_s917_158a3d7a0cbc	V29_GEN__C0048__826A7B75A0969B0A	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-80.60470000000001	-87.153	6.548299999999998	0.7	0.8
CANDIDATE_V29_GEN__C0048__95DD76F095C02A42_9e6y_s917_13f434822139	V29_GEN__C0048__95DD76F095C02A42	9e6y	917	true	SUPPORTED_AB	STRICT_A	false	A	A	B	A	6	8	-77.6188	-71.1646	-6.4542	0.5	0.5
CANDIDATE_V29_GEN__C0048__97927AAB3A3BE0E0_8x6b_s917_1c48d2e45008	V29_GEN__C0048__97927AAB3A3BE0E0	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-61.62355000000001	-60.30119999999999	-1.3223500000000215	0.6	0.6
CANDIDATE_V29_GEN__C0048__A401569FB5C7303C_9e6y_s917_165bb959b352	V29_GEN__C0048__A401569FB5C7303C	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	9	9	-50.362820000000006	-66.5542	16.191379999999988	1.0	1.0
CANDIDATE_V29_GEN__C0048__BE5CE21AE62A468B_9e6y_s917_19d4ddf2a9ef	V29_GEN__C0048__BE5CE21AE62A468B	9e6y	917	true	OTHER	STRICT_A	false	E	A	E	A	10	9	-87.6994	-103.0605	15.361100000000008	0.6	0.444444
CANDIDATE_V29_GEN__C0048__E9030629B41AEB2E_8x6b_s917_24735b6e14a2	V29_GEN__C0048__E9030629B41AEB2E	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-91.31240000000001	-89.75608	-1.5563200000000137	0.9	0.8
CANDIDATE_V29_GEN__C0048__E9468F97F59D6127_9e6y_s917_1397960644cb	V29_GEN__C0048__E9468F97F59D6127	9e6y	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	6	10	-52.49735	-66.4697	13.972350000000006	0.666667	0.7
CANDIDATE_V29_GEN__C0052__4AFDBB60C9F9E9C6_9e6y_s917_1e430e4ec13d	V29_GEN__C0052__4AFDBB60C9F9E9C6	9e6y	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	10	10	-75.2782	-93.9961	18.7179	0.8	0.7
CANDIDATE_V29_GEN__C0052__4FDFA2477A7F3E9D_8x6b_s917_0d1a4d16b180	V29_GEN__C0052__4FDFA2477A7F3E9D	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	9	8	-80.40230000000001	-93.12570000000001	12.723399999999998	0.777778	0.75
CANDIDATE_V29_GEN__C0052__9FC45B3794093268_8x6b_s917_10b489383c2e	V29_GEN__C0052__9FC45B3794093268	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	7	7	-60.5776	-56.8711	-3.7064999999999984	1.0	0.857143
CANDIDATE_V29_GEN__C0052__CB9725C5F16BFCDB_8x6b_s917_142c16e65fa3	V29_GEN__C0052__CB9725C5F16BFCDB	8x6b	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	8	10	-67.23469300000001	-74.775348	7.540654999999987	0.75	0.7
CANDIDATE_V29_GEN__C0052__D14BA1B05E2479EB_8x6b_s917_131280eb0ea3	V29_GEN__C0052__D14BA1B05E2479EB	8x6b	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	10	10	-84.76339999999999	-66.4511	-18.312299999999993	0.8	0.6
CANDIDATE_V29_GEN__C0052__FD8F140040084F55_9e6y_s917_0f2405020799	V29_GEN__C0052__FD8F140040084F55	9e6y	917	true	SUPPORTED_AB	STRICT_A	false	B	A	B	A	10	10	-40.988399999999984	-48.659019999999984	7.6706199999999995	0.7	0.6
CANDIDATE_V29_GEN__C0054__0DCB74AD786044C4_8x6b_s917_2144a78a9b79	V29_GEN__C0054__0DCB74AD786044C4	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	9	10	-67.0583	-74.55112	7.492819999999995	0.666667	0.8
CANDIDATE_V29_GEN__C0054__0DCB74AD786044C4_9e6y_s917_1e71dd5ff5e6	V29_GEN__C0054__0DCB74AD786044C4	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	8	-71.2784	-70.0088	-1.2696000000000112	0.8	1.0
CANDIDATE_V29_GEN__C0054__4189D20B195B5F3E_8x6b_s917_0b614936726e	V29_GEN__C0054__4189D20B195B5F3E	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-74.39809	-50.25923999999999	-24.138850000000005	0.8	0.8
CANDIDATE_V29_GEN__C0054__97E1CC97C6517309_9e6y_s917_18e6ca87342a	V29_GEN__C0054__97E1CC97C6517309	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-77.0128	-73.1575	-3.8552999999999997	0.8	0.9
CANDIDATE_V29_GEN__C0054__A72986AE613B7256_8x6b_s917_1b9acff5f70a	V29_GEN__C0054__A72986AE613B7256	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	7	6	-85.7167	-90.50198	4.78528	1.0	1.0
CANDIDATE_V29_GEN__C0054__F1B1B42B9C796AC8_9e6y_s917_1f3b384735b4	V29_GEN__C0054__F1B1B42B9C796AC8	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	7	8	-75.53449999999998	-53.72529999999999	-21.80919999999999	1.0	0.875
CANDIDATE_V29_GEN__C0065__1C0A6B8F072EEF23_9e6y_s917_12bbe568e69c	V29_GEN__C0065__1C0A6B8F072EEF23	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-59.74370000000002	-65.45675	5.713049999999981	0.6	0.6
CANDIDATE_V29_GEN__C0065__3F9CAD11532B5A38_8x6b_s917_1300b58a12df	V29_GEN__C0065__3F9CAD11532B5A38	8x6b	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	10	10	-75.68200000000002	-61.47819999999999	-14.20380000000003	0.6	0.6
CANDIDATE_V29_GEN__C0065__70F98B09F5199564_9e6y_s917_1666b721055f	V29_GEN__C0065__70F98B09F5199564	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-55.22627999999999	-46.152770000000004	-9.073509999999985	0.5	0.6
CANDIDATE_V29_GEN__C0065__7748301F441022BD_9e6y_s917_0fe727277e50	V29_GEN__C0065__7748301F441022BD	9e6y	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	7	8	-64.25399999999999	-79.8281	15.574100000000016	0.857143	0.75
CANDIDATE_V29_GEN__C0065__90AA4BAE101EF896_8x6b_s917_1993c421247e	V29_GEN__C0065__90AA4BAE101EF896	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	7	9	-80.0857	-70.09400000000001	-9.991699999999994	0.571429	0.555556
CANDIDATE_V29_GEN__C0065__A96E96B19E68393F_8x6b_s917_1364d1d05674	V29_GEN__C0065__A96E96B19E68393F	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-71.21199999999999	-75.93150000000001	4.719500000000025	1.0	0.9
CANDIDATE_V29_GEN__C0065__C1AB50550578EAE1_8x6b_s917_0dd6bdf486ee	V29_GEN__C0065__C1AB50550578EAE1	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-76.78549999999998	-77.22230000000002	0.4368000000000336	0.5	0.5
CANDIDATE_V29_GEN__C0065__DE6DD4C723B1879D_8x6b_s917_194bcc3051f9	V29_GEN__C0065__DE6DD4C723B1879D	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-84.7671	-81.72500000000001	-3.0420999999999907	0.8	0.8
CANDIDATE_V29_GEN__C0065__FEBA00C4ACD769CB_8x6b_s917_1444d6661962	V29_GEN__C0065__FEBA00C4ACD769CB	8x6b	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	10	8	-79.29535999999999	-77.53865	-1.756709999999984	0.6	0.875
CANDIDATE_V29_GEN__C0072__7546A9284BA8D2B6_8x6b_s917_2103f0b089bd	V29_GEN__C0072__7546A9284BA8D2B6	8x6b	917	true	SUPPORTED_AB	STRICT_A	false	B	A	B	A	10	9	-60.52436	-70.79534000000001	10.270980000000009	0.7	1.0
CANDIDATE_V29_GEN__C0072__CC42CDB135D119D9_8x6b_s917_1dde870994ee	V29_GEN__C0072__CC42CDB135D119D9	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-62.93290000000001	-73.55588	10.622979999999991	0.8	0.7
CANDIDATE_V29_GEN__C0072__E5A3C19F43FBA67F_8x6b_s917_17610836b550	V29_GEN__C0072__E5A3C19F43FBA67F	8x6b	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	10	10	-77.0353	-62.74703800000001	-14.288261999999996	0.8	0.8
CANDIDATE_V29_GEN__C0072__E8CC52F435FE7AB4_9e6y_s917_15108af97179	V29_GEN__C0072__E8CC52F435FE7AB4	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	8	10	-64.7424	-65.3271	0.584699999999998	0.5	0.5
CANDIDATE_V29_GEN__C0074__0E871B0D2B7AFCCB_9e6y_s917_0f971c4348bd	V29_GEN__C0074__0E871B0D2B7AFCCB	9e6y	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	9	5	-52.0987	-71.16576	19.067060000000005	0.666667	0.8
CANDIDATE_V29_GEN__C0074__5C64C60A18198739_9e6y_s917_15a96c2206c2	V29_GEN__C0074__5C64C60A18198739	9e6y	917	true	SUPPORTED_AB	OTHER	false	B	E	B	E	10	10	-49.57138	-55.83789999999999	6.266519999999993	0.5	0.4
CANDIDATE_V29_GEN__C0074__6E94B5514F9D0496_9e6y_s917_1168f6511fea	V29_GEN__C0074__6E94B5514F9D0496	9e6y	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	10	10	-88.96202	-106.77619999999999	17.814179999999993	0.6	1.0
CANDIDATE_V29_GEN__C0074__73552539B9CE91A9_9e6y_s917_19fa26ae61e8	V29_GEN__C0074__73552539B9CE91A9	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	8	10	-58.95544	-65.67255	6.717109999999998	1.0	0.9
CANDIDATE_V29_GEN__C0074__773CE9D4C1466C13_8x6b_s917_260997e0da2f	V29_GEN__C0074__773CE9D4C1466C13	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	7	7	-70.66727999999999	-58.707300000000004	-11.959979999999987	1.0	0.714286
CANDIDATE_V29_GEN__C0074__797681BB171D4E63_8x6b_s917_150c80d04737	V29_GEN__C0074__797681BB171D4E63	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	9	5	-70.6712	-62.37329999999999	-8.297900000000006	0.777778	1.0
CANDIDATE_V29_GEN__C0074__DDFFB197581D823E_9e6y_s917_0e168199e86e	V29_GEN__C0074__DDFFB197581D823E	9e6y	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	9	10	-62.17858000000001	-73.12341	10.944829999999996	0.555556	0.7
CANDIDATE_V29_GEN__C0074__E5B691E795945DF3_9e6y_s917_0e7f44046913	V29_GEN__C0074__E5B691E795945DF3	9e6y	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	A	B	B	8	10	-77.34518000000001	-89.1648	11.819619999999986	0.75	0.7
CANDIDATE_V29_GEN__C0074__FE6BC49948D6B01D_8x6b_s917_0bc5f0dec773	V29_GEN__C0074__FE6BC49948D6B01D	8x6b	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	10	9	-85.4509	-100.351	14.900099999999995	0.9	0.888889
CANDIDATE_V29_GEN__C0074__FE6BC49948D6B01D_9e6y_s917_12caabc7b40f	V29_GEN__C0074__FE6BC49948D6B01D	9e6y	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	10	10	-85.0477	-79.33269999999999	-5.715000000000018	0.9	0.9
CANDIDATE_V29_GEN__C0075__229EE07C4951BFB6_9e6y_s917_1621e503f6d3	V29_GEN__C0075__229EE07C4951BFB6	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	7	-60.28940999999999	-71.25092000000001	10.961510000000018	0.7	0.571429
CANDIDATE_V29_GEN__C0075__3727AB00B6C84410_9e6y_s917_19936403e942	V29_GEN__C0075__3727AB00B6C84410	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-87.29646	-57.196600000000004	-30.099859999999993	0.8	0.8
CANDIDATE_V29_GEN__C0075__50C3C9D8144AFFDE_8x6b_s917_0ad764687b7b	V29_GEN__C0075__50C3C9D8144AFFDE	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-78.72059999999999	-81.87039999999999	3.149799999999999	0.8	0.9
CANDIDATE_V29_GEN__C0075__50C3C9D8144AFFDE_9e6y_s917_0fe0fbe1b4f4	V29_GEN__C0075__50C3C9D8144AFFDE	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-71.3541	-75.26079999999999	3.9066999999999865	0.9	0.8
CANDIDATE_V29_GEN__C0075__5FA4FB2C4A32463C_8x6b_s917_1755bab0b7e3	V29_GEN__C0075__5FA4FB2C4A32463C	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	6	4	-88.09639999999999	-90.07250000000002	1.9761000000000308	0.833333	1.0
CANDIDATE_V29_GEN__C0075__7CEEC67C94812E6F_8x6b_s917_0cc9c2daf35d	V29_GEN__C0075__7CEEC67C94812E6F	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-94.79700000000001	-71.9114	-22.88560000000001	0.9	0.5
CANDIDATE_V29_GEN__C0075__90BF25C4D0A8A737_9e6y_s917_15e772cebb1e	V29_GEN__C0075__90BF25C4D0A8A737	9e6y	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	9	10	-58.461299999999994	-71.9031	13.4418	0.777778	0.7
CANDIDATE_V29_GEN__C0075__C5DBB340898F2515_8x6b_s917_21e379ab0a1c	V29_GEN__C0075__C5DBB340898F2515	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-55.577020000000005	-71.0828	15.505780000000001	1.0	0.8
CANDIDATE_V29_GEN__C0075__CB8B397BF78BC1E3_8x6b_s917_1554bb3f1bcc	V29_GEN__C0075__CB8B397BF78BC1E3	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	9	10	-85.05430000000001	-50.879380000000005	-34.17492000000001	0.777778	1.0
CANDIDATE_V29_GEN__C0075__F01BEE495C96C615_9e6y_s917_1e88935fd849	V29_GEN__C0075__F01BEE495C96C615	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	7	10	-69.70704	-75.3041	5.597059999999999	1.0	0.9
CANDIDATE_V29_GEN__C0075__F999945B6653FBD2_8x6b_s917_129e2fd63d06	V29_GEN__C0075__F999945B6653FBD2	8x6b	917	true	OTHER	STRICT_A	false	E	A	E	A	10	10	-60.326800000000006	-52.37254	-7.954260000000005	0.5	0.7
CANDIDATE_V29_GEN__C0076__26C49B179B35422E_9e6y_s917_17196f54d680	V29_GEN__C0076__26C49B179B35422E	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-94.399	-76.69729000000001	-17.70170999999999	0.8	1.0
CANDIDATE_V29_GEN__C0076__3546C5F8FE246E3F_8x6b_s917_2102eb085b11	V29_GEN__C0076__3546C5F8FE246E3F	8x6b	917	true	SUPPORTED_AB	STRICT_A	false	B	A	B	A	10	10	-80.9039	-69.75680000000001	-11.14709999999998	0.5	0.6
CANDIDATE_V29_GEN__C0076__9C3D45DDE487818E_8x6b_s917_19e44e429727	V29_GEN__C0076__9C3D45DDE487818E	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	8	-82.747	-82.5183	-0.22870000000000346	1.0	0.875
CANDIDATE_V29_GEN__C0076__D8F09FABE435704A_8x6b_s917_14ec7309b25b	V29_GEN__C0076__D8F09FABE435704A	8x6b	917	true	SUPPORTED_AB	STRICT_A	false	B	A	B	A	10	10	-84.7543	-83.5299	-1.2244000000000028	0.7	0.8
CANDIDATE_V29_GEN__C0076__D99C6C754A47F424_8x6b_s917_22977c3dfcf4	V29_GEN__C0076__D99C6C754A47F424	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	8	-75.15232999999999	-60.89483999999998	-14.257490000000011	0.8	0.75
CANDIDATE_V29_GEN__C0076__F3325CDF435550A4_8x6b_s917_140b2a47618d	V29_GEN__C0076__F3325CDF435550A4	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-62.68703299999999	-60.38035000000001	-2.3066829999999854	0.8	0.8
CANDIDATE_V29_GEN__C0079__1EDEE43F41E4527C_8x6b_s917_13a683bfb456	V29_GEN__C0079__1EDEE43F41E4527C	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	8	8	-58.41099999999999	-56.432700000000004	-1.978299999999983	1.0	1.0
CANDIDATE_V29_GEN__C0079__436256C2FE4F70A4_9e6y_s917_0e8fd228cf35	V29_GEN__C0079__436256C2FE4F70A4	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	4	5	-58.19616	-68.1959	9.999739999999996	1.0	1.0
CANDIDATE_V29_GEN__C0079__BABA6ABD926F9272_9e6y_s917_212c12f7bc18	V29_GEN__C0079__BABA6ABD926F9272	9e6y	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	10	10	-71.2464	-57.47829800000001	-13.768101999999985	0.7	0.8
CANDIDATE_V29_GEN__C0079__E4421EA1ED75F70B_8x6b_s917_17fc97241f58	V29_GEN__C0079__E4421EA1ED75F70B	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	8	7	-72.6097	-69.6076	-3.0020999999999987	1.0	0.714286
CANDIDATE_V29_GEN__C0079__E9368A0C06DEBEFA_9e6y_s917_17876b4a312e	V29_GEN__C0079__E9368A0C06DEBEFA	9e6y	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	10	9	-50.60942000000001	-52.88073	2.2713099999999926	0.6	0.666667
CANDIDATE_V29_GEN__C0079__ECCC26AC1B30D025_8x6b_s917_108074b303fe	V29_GEN__C0079__ECCC26AC1B30D025	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-56.79258999999999	-70.12939999999999	13.33681	0.9	0.7
CANDIDATE_V29_GEN__C0079__F895179C5E33947E_9e6y_s917_17c152624cf9	V29_GEN__C0079__F895179C5E33947E	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	6	6	-67.78524000000002	-82.92860000000002	15.143360000000001	1.0	0.666667
CANDIDATE_V29_GEN__C0086__196A084B634F4C80_9e6y_s917_11b45334792b	V29_GEN__C0086__196A084B634F4C80	9e6y	917	true	SUPPORTED_AB	STRICT_A	false	B	A	B	A	10	10	-79.71719999999999	-80.557	0.839800000000011	0.6	0.9
CANDIDATE_V29_GEN__C0086__238B76E708A64F3E_9e6y_s917_0af917f5efd8	V29_GEN__C0086__238B76E708A64F3E	9e6y	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	10	10	-48.46395999999999	-86.0572	37.59324	0.9	0.7
CANDIDATE_V29_GEN__C0086__48E5A666D10D07A5_8x6b_s917_1b4430224216	V29_GEN__C0086__48E5A666D10D07A5	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-61.8893	-65.62360000000001	3.7343000000000117	0.9	0.9
