metric,source,kind,n,missing,min,q1,median,q3,max,mean,counts,positive_observation,proposed_use,robustness,recommendation
mw,screen_summary.tsv,numeric,11,0,12726.997,12926.74,13176.474,13299.144,13458.904,13127.1936,,分子量与 VHH 长度一致。,sanity/warn,中等,主要做异常输入检查。
pI,screen_summary.tsv,numeric,11,0,4.995,5.224,5.708,6.422,8.62,6.0011,,酸性到偏碱性阳性都存在。,warn/ranking,中等,极端 pI 才开发性降级；本范围不是 hard gate。
charge_pH7_4,screen_summary.tsv,numeric,11,0,-5.336,-1.947,-1.447,-0.9645,1.484,-1.7264,,阳性允许负电到轻微正电。,warn/ranking,中等,极端电荷提示表达/非特异风险。
gravy,screen_summary.tsv,numeric,11,0,-0.4959,-0.4114,-0.2512,-0.2141,-0.0614,-0.2997,,阳性均偏亲水。,warn/ranking,中等,候选明显更疏水时降级/复核。
eval_instability_index,pvrig11_positive.vhh_eval.tsv,numeric,11,0,35.029,35.996,37.136,38.0105,39.172,37.0367,,阳性均在 35-40 附近。,ranking,中等,用于可开发性排序，不判断阻断。
nglyc_motif_count,screen_summary.tsv,numeric,11,0,0,0,0,0,0,0,,11/11 为 0。,developability warn/hard by location,中等,CDR 内 N-glyc motif 可 hard/warn；框架中人工复核。
cys_count,screen_summary.tsv,numeric,11,0,2,4,4,4,4,3.8182,,2 或 4 个 Cys 均可出现在阳性中。,warn/review,中等,非经典 Cys 不能自动否决 blocker；必须看成键/结构。
deamidation_NG_NS_NT_count,screen_summary.tsv,numeric,11,0,0,1.5,2,2,2,1.6364,,阳性允许 0-2 个。,warn/review,中等,位置相关复核，不单独 hard fail。
isomerization_DG_DS_DD_DT_count,screen_summary.tsv,numeric,11,0,2,2.5,3,4,5,3.2727,,阳性普遍含 2-5 个。,warn/review,低到中,该 motif 太常见，不能单独 hard fail。
acid_cleavage_DP_count,screen_summary.tsv,numeric,11,0,0,0,0,0,0,0,,11/11 为 0。,warn/review,中等,出现 DP 时按位置复核。
eval_oxidation_MW_count,pvrig11_positive.vhh_eval.tsv,numeric,11,0,4,5,5,5,6,5,,阳性仍可有氧化风险计数。,warn/review,中等,评估位置和暴露度。
hydrophobic_5_count,screen_summary.tsv,numeric,11,0,0,0,0,0,1,0.0909,,有 1 条阳性触发 5 连疏水并 L3 FAIL。,warn/developability risk,中等,不应作为 blocker hard fail，但应降级并人工复核。
diversity_max_team_identity,team_diversity.tsv,numeric,11,0,0.5447,0.9421,1,1,1,0.9375,,阳性家族内高度相似。,portfolio constraint,中等,用于组合多样性，不评价单条阻断能力。
diversity_intra_team_cluster_size,team_diversity.tsv,numeric,11,0,1,2.5,3,5,5,3.5455,,阳性分成多个家族簇。,portfolio constraint,中等,批量提交时限制同簇数量。
diversity_diversity_score,team_diversity.tsv,numeric,11,0,55,55,70,77.5,100,68.6364,,多样性分数在硬拒绝背景下仍可计算。,portfolio ranking,中等,只能在 hard gate 通过后用于排序。
tnp_total_cdr_length,TNP_Results_Multientry.json,numeric,11,0,29,29,30,34,36,31.3636,,all-11 TNP 长度全绿。,warn/ranking,中等,作为 CDR 尺寸/可开发性佐证。
tnp_cdr3_length,TNP_Results_Multientry.json,numeric,11,0,14,14,15,17.5,19,15.7273,,all-11 TNP CDR3 长度全绿。,warn/ranking,中等,与 IMGT CDR3 envelope 互相校验。
tnp_cdr3_compactness,TNP_Results_Multientry.json,numeric,11,0,1.0119,1.0266,1.0688,1.3937,1.4501,1.1807,,all-11 compactness 全绿。,warn/ranking,中等,结构/可开发性风险指标，不替代 docking。
tnp_PSH_all11,TNP_Results_Multientry.json,numeric,11,0,83.8441,95.3665,104.1461,111.7769,125.1016,103.848,,all-11 PSH 全绿。,warn/ranking,中等,高表面疏水候选应降级/复核。
tnp_PPC_all11,TNP_Results_Multientry.json,numeric,11,0,0,0,0.1131,0.2091,0.3038,0.123,,all-11 PPC 全绿。,warn/ranking,中等,正电 patch 风险用于开发性排序。
tnp_PNC_all11,TNP_Results_Multientry.json,numeric,11,0,0,0.0767,0.1326,0.3492,3.0326,0.6606,,2/11 阳性 PNC 为红。,warn/review,低到中,PNC 红不能作为 blocker 否决，只能开发性复核。
tnp_L_flag_all11,TNP_Results_Multientry.json,categorical,11,0,,,,,,,green=11,TNP all-11 补跑得到的 flag。,warn/review,中等,本阳性集全绿，可作为候选开发性风险参考。
tnp_L3_flag_all11,TNP_Results_Multientry.json,categorical,11,0,,,,,,,green=11,TNP all-11 补跑得到的 flag。,warn/review,中等,本阳性集全绿，可作为候选开发性风险参考。
tnp_C_flag_all11,TNP_Results_Multientry.json,categorical,11,0,,,,,,,green=11,TNP all-11 补跑得到的 flag。,warn/review,中等,本阳性集全绿，可作为候选开发性风险参考。
tnp_PSH_flag_all11,TNP_Results_Multientry.json,categorical,11,0,,,,,,,green=11,TNP all-11 补跑得到的 flag。,warn/review,中等,本阳性集全绿，可作为候选开发性风险参考。
tnp_PPC_flag_all11,TNP_Results_Multientry.json,categorical,11,0,,,,,,,green=11,TNP all-11 补跑得到的 flag。,warn/review,中等,本阳性集全绿，可作为候选开发性风险参考。
tnp_PNC_flag_all11,TNP_Results_Multientry.json,categorical,11,0,,,,,,,green=9; red=2,TNP all-11 补跑得到的 flag。,warn/review,中等,红色 flag 进入开发性复核；不要直接解释为无阻断。
