record_type	candidate_id	mechanism_rank	experimental_role	independent_complex_status	final50_expansion_decision	reason	claim_boundary	base_molecule	mutation	boltz_pair_label	boltz_iptm	chai_pair_label	chai_best_iptm
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0188__00549	15	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0100__00383	16	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0399__00131	17	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0188__00481	18	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0404__00512	19	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0484__00056	20	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0091__00550	21	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0188__00189	22	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0207__00174	23	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0405__00049	24	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0108__00054	25	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0188__00364	26	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0185__00273	27	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0032__00118	28	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0388__00663	29	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0287__00389	30	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0289__00496	31	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0091__00849	32	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0388__00174	33	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0487__00827	34	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0029__00647	35	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0388__00797	36	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0134__00289	37	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0128__00809	38	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0130__00610	39	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0134__00713	40	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0030__00860	41	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0504__00926	42	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0206__00634	43	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0228__00457	44	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0504__00900	45	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0034__00437	46	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0091__00172	47	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0190__00879	48	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0091__00440	49	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0133__00282	50	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
CALIBRATION_CONTROL	POS_PVRIG-151_HR151		EXPERIMENTAL_POSITIVE_BLOCKER	SINGLE_TOOL_SUPPORTED	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Five experimental positives and four computational perturbation controls; perturbations are not experimentally confirmed negatives.	Control calibration only; not experimental affinity/blocking inference for candidates.	PVRIG-151_HR151	none	OTHER	0.41236141324043274	SUPPORTED_AB	0.0927693247795105
CALIBRATION_CONTROL	POS_PVRIG-20		EXPERIMENTAL_POSITIVE_BLOCKER	NO_BLOCKER_GEOMETRY_SUPPORT	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Five experimental positives and four computational perturbation controls; perturbations are not experimentally confirmed negatives.	Control calibration only; not experimental affinity/blocking inference for candidates.	PVRIG-20	none	OTHER	0.27001920342445374	OTHER	0.06956695765256882
CALIBRATION_CONTROL	POS_PVRIG-30		EXPERIMENTAL_POSITIVE_BLOCKER	SINGLE_TOOL_SUPPORTED	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Five experimental positives and four computational perturbation controls; perturbations are not experimentally confirmed negatives.	Control calibration only; not experimental affinity/blocking inference for candidates.	PVRIG-30	none	SUPPORTED_AB	0.6047272086143494	OTHER	0.062165454030036926
CALIBRATION_CONTROL	POS_PVRIG-38		EXPERIMENTAL_POSITIVE_BLOCKER	DUAL_TOOL_SUPPORTED_AB	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Five experimental positives and four computational perturbation controls; perturbations are not experimentally confirmed negatives.	Control calibration only; not experimental affinity/blocking inference for candidates.	PVRIG-38	none	SUPPORTED_AB	0.27795422077178955	SUPPORTED_AB	0.08214496076107025
CALIBRATION_CONTROL	POS_PVRIG-39		EXPERIMENTAL_POSITIVE_BLOCKER	NO_BLOCKER_GEOMETRY_SUPPORT	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Five experimental positives and four computational perturbation controls; perturbations are not experimentally confirmed negatives.	Control calibration only; not experimental affinity/blocking inference for candidates.	PVRIG-39	none	OTHER	0.29804936051368713	OTHER	0.0866938978433609
CALIBRATION_CONTROL	MUT_mut_03_PVRIG-20_cdr3_arom_F99A		COMPUTATIONAL_DISRUPTIVE_CONTROL	NO_BLOCKER_GEOMETRY_SUPPORT	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Five experimental positives and four computational perturbation controls; perturbations are not experimentally confirmed negatives.	Control calibration only; not experimental affinity/blocking inference for candidates.	PVRIG-20	F99A	OTHER	0.40220415592193604	OTHER	0.07634396106004715
CALIBRATION_CONTROL	MUT_mut_09_PVRIG-30_cdr3_arom_W100A		COMPUTATIONAL_DISRUPTIVE_CONTROL	SINGLE_TOOL_SUPPORTED	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Five experimental positives and four computational perturbation controls; perturbations are not experimentally confirmed negatives.	Control calibration only; not experimental affinity/blocking inference for candidates.	PVRIG-30	W100A	SUPPORTED_AB	0.7161403298377991	OTHER	0.06618546694517136
CALIBRATION_CONTROL	MUT_mut_14_PVRIG-38_cdr3_arom_F100A		COMPUTATIONAL_DISRUPTIVE_CONTROL	DUAL_TOOL_SUPPORTED_AB	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Five experimental positives and four computational perturbation controls; perturbations are not experimentally confirmed negatives.	Control calibration only; not experimental affinity/blocking inference for candidates.	PVRIG-38	F100A	SUPPORTED_AB	0.23513157665729523	SUPPORTED_AB	0.0745755285024643
CALIBRATION_CONTROL	MUT_mut_19_PVRIG-39_cdr3_arom_F99A		COMPUTATIONAL_DISRUPTIVE_CONTROL	NO_BLOCKER_GEOMETRY_SUPPORT	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Five experimental positives and four computational perturbation controls; perturbations are not experimentally confirmed negatives.	Control calibration only; not experimental affinity/blocking inference for candidates.	PVRIG-39	F99A	OTHER	0.5813394784927368	OTHER	0.09211599081754684
